Country_0,Country_1,Country_2,Country_3,Country_4,Country_5,Country_6,Country_7,Country_8,Mental _hospitals,health_units,outpatient _facilities,day _treatment,residential_facilities,Psychiatrists,Nurses,Social_workers,Psychologists,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,population, 80_above, 70to79, 60to69 , 50to59 , 40to49, 30to39, 20to29, 10to19,Sex_Female,Sex_Male
0,0,0,0,0,1,0,0,1,0.114,0.021,0.156,0.094,0.031,3.452,6.7170000000000005,0.114,1.165,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2.2735,8121,0.009317,0.016433999999999997,0.02565,0.050635,0.04396,0.04966400000000001,0.039776000000000006,0.018619999999999998,0,0
0,0,0,0,0,1,0,0,1,0.114,0.021,0.156,0.094,0.031,3.452,6.7170000000000005,0.114,1.165,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2.2735,4136,0.00385,0.00584,0.006489,0.009085999999999999,0.00654,0.0078,0.008091000000000001,0.003732,1,0
0,0,0,0,0,1,0,0,1,0.114,0.021,0.156,0.094,0.031,3.452,6.7170000000000005,0.114,1.165,5.291,5.226,5.356,1.12373,0.76042,0.54504,0.35327,0.17914000000000002,0.0564,2.2735,3986,0.005375,0.010608,0.019053,0.04102,0.037324,0.04174200000000001,0.03094,0.014889000000000001,0,1
0,0,0,0,0,1,0,1,0,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,6.218,6.127999999999999,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,1222,0.001008,0.00165,0.0026660000000000004,0.006,0.013236999999999999,0.028836,0.0264,0.00486,0,0
0,0,0,0,0,1,0,1,0,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,6.218,6.127999999999999,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,439,0.000345,0.00029400000000000004,0.0005440000000000001,0.0009119999999999998,0.001022,0.0029970000000000005,0.003162,0.00117,1,0
0,0,0,0,0,1,0,1,0,0.23452777777777778,0.2929878048780487,1.3035733333333335,1.0704390243902437,0.6730526315789473,4.615691358024691,12.5657205882353,2.612166666666667,11.07801515151515,6.218,6.127999999999999,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,786,0.000816,0.001416,0.0021319999999999998,0.00507,0.012298,0.026076,0.023282999999999998,0.0036119999999999998,0,1
0,0,0,0,0,1,0,1,1,0.001,0.035,0.055,1.0704390243902437,0.045,0.13,0.873,2.612166666666667,0.124,4.643,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,128298,0.4386,0.49100800000000006,0.47693800000000003,0.6202420000000001,0.865122,1.6487459999999998,2.75158,1.946552,0,0
0,0,0,0,0,1,0,1,1,0.001,0.035,0.055,1.0704390243902437,0.045,0.13,0.873,2.612166666666667,0.124,4.643,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,63404,0.078132,0.12115200000000001,0.178242,0.217512,0.419985,1.0379559999999999,1.9195890000000002,1.5049860000000002,1,0
0,0,0,0,0,1,0,1,1,0.001,0.035,0.055,1.0704390243902437,0.045,0.13,0.873,2.612166666666667,0.124,4.643,4.56,4.726,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,64893,0.357744,0.373056,0.304296,0.41013,0.4548,0.603827,0.82821,0.433053,0,1
0,0,0,0,0,1,1,0,0,0.2,0.063,0.116,0.285,0.6730526315789473,13.504,12.5657205882353,2.612166666666667,5.5139999999999985,5.8020000000000005,5.723,5.881,1.1306200000000002,1.04993,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2.3858200000000003,8337,0.140882,0.18856799999999999,0.33344,0.572964,0.507528,0.43911,0.25212599999999996,0.042672,0,0
